"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
11	11377	"NA"	"                                                | nhits | proportion |          features
----------------------------------------------------------------------------------------
All                                             | 4     | 0.00035    |                  
 '--repeat                                      | 4     | 0.00035    |                  
     |--rDNA                                    | 1     | 8.8e-05    |                  
     |   '--5S_rDNA                             | 1     | 8.8e-05    |                  
     '--mobile_element                          | 3     | 0.00026    |                  
         |--Class_I                             | 2     | 0.00018    |                  
         |   '--LTR                             | 2     | 0.00018    |                  
         |       '--Ty3_gypsy                   | 2     | 0.00018    |                  
         |           '--chromovirus             | 2     | 0.00018    |                  
         |               |--CRM                 | 1     | 8.8e-05    | 1 (Ty3-RH),      
         |               '--Tekay               | 1     | 8.8e-05    | 1 (Ty3-INT),     
         '--Class_II                            | 1     | 8.8e-05    |                  
             '--Subclass_1                      | 1     | 8.8e-05    |                  
                 '--TIR                         | 1     | 8.8e-05    |                  
                     '--EnSpm_CACTA             | 1     | 8.8e-05    | 1 (CACTA-TPase), "	NA	"76,63"
12	11098	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"96,54"
13	10989	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"25"
14	10881	"Athila"	"                                                | nhits | proportion |                                                                    features
--------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 3600  | 0.33       |                                                                            
 |--organelle                                   | 3     | 0.00028    |                                                                            
 |   '--mitochondria                            | 3     | 0.00028    |                                                                            
 '--repeat                                      | 3597  | 0.33       |                                                                            
     '--mobile_element                          | 3597  | 0.33       |                                                                            
         '--Class_I                             | 3597  | 0.33       |                                                                            
             '--LTR                             | 3597  | 0.33       |                                                                            
                 '--Ty3_gypsy                   | 3597  | 0.33       |                                                                            
                     |--non-chromovirus         | 3595  | 0.33       |                                                                            
                     |   '--OTA                 | 3595  | 0.33       |                                                                            
                     |       '--Athila          | 3595  | 0.33       | 465 (Ty3-GAG), 1256 (Ty3-INT), 469 (Ty3-PROT), 532 (Ty3-RH), 873 (Ty3-RT), 
                     '--chromovirus             | 2     | 0.00018    |                                                                            
                         '--Tekay               | 2     | 0.00018    | 2 (Ty3-RH),                                                                "	NA	"103,53"
15	10447	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 10451 | 1          |         
 |--organelle                                   | 4     | 0.00038    |         
 |   |--plastid                                 | 1     | 9.6e-05    |         
 |   '--mitochondria                            | 3     | 0.00029    |         
 '--repeat                                      | 10447 | 1          |         
     '--satellite                               | 10447 | 1          |         "	"28 - Putative satellites (high confidence)"	"28"
16	8621	"Class_I"	"                                                | nhits | proportion |                      features
----------------------------------------------------------------------------------------------------
All                                             | 797   | 0.092      |                              
 '--repeat                                      | 797   | 0.092      |                              
     '--mobile_element                          | 797   | 0.092      |                              
         '--Class_I                             | 797   | 0.092      |                              
             |--LTR                             | 495   | 0.057      |                              
             |   '--Ty3_gypsy                   | 495   | 0.057      |                              
             |       |--non-chromovirus         | 50    | 0.0058     |                              
             |       |   |--Selgy               | 3     | 0.00035    | 3 (Ty3-RT),                  
             |       |   '--OTA                 | 47    | 0.0054     |                              
             |       |       |--Athila          | 44    | 0.0051     | 43 (Ty3-RH), 1 (Ty3-RT),     
             |       |       '--Tat             | 3     | 0.00035    |                              
             |       |           '--Ogre        | 3     | 0.00035    | 3 (Ty3-RT),                  
             |       '--chromovirus             | 445   | 0.052      |                              
             |           |--Chlamyvir           | 42    | 0.0049     | 42 (Ty3-RT),                 
             |           |--Tcn1                | 56    | 0.0065     | 1 (Ty3-RH), 55 (Ty3-RT),     
             |           |--chromo-outgroup     | 50    | 0.0058     | 7 (Ty3-RH), 43 (Ty3-RT),     
             |           |--CRM                 | 24    | 0.0028     | 24 (Ty3-RT),                 
             |           |--Galadriel           | 28    | 0.0032     | 1 (Ty3-RH), 27 (Ty3-RT),     
             |           |--Tekay               | 83    | 0.0096     | 81 (Ty3-RH), 2 (Ty3-RT),     
             |           |--Reina               | 147   | 0.017      | 59 (Ty3-RH), 88 (Ty3-RT),    
             |           '--Ferney              | 15    | 0.0017     | 15 (Ty3-RH),                 
             '--pararetrovirus                  | 302   | 0.035      | 20 (PARA-RH), 282 (PARA-RT), "	NA	"150,158,180,125"
17	7504	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 11    | 0.0015     |              
 |--organelle                                   | 10    | 0.0013     |              
 |   '--plastid                                 | 10    | 0.0013     |              
 '--repeat                                      | 1     | 0.00013    |              
     '--mobile_element                          | 1     | 0.00013    |              
         '--Class_I                             | 1     | 0.00013    |              
             '--LTR                             | 1     | 0.00013    |              
                 '--Ty3_gypsy                   | 1     | 0.00013    |              
                     '--chromovirus             | 1     | 0.00013    |              
                         '--Reina               | 1     | 0.00013    | 1 (Ty3-GAG), "	NA	"49"
18	6876	"5S_rDNA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1572  | 0.23       |         
 '--repeat                                      | 1572  | 0.23       |         
     '--rDNA                                    | 1572  | 0.23       |         
         '--5S_rDNA                             | 1572  | 0.23       |         "	NA	"233,297,74"
19	6678	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"129,102"
20	6327	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"145,99"
21	6079	"Tekay"	"                                                | nhits | proportion |                                     features
-------------------------------------------------------------------------------------------------------------------
All                                             | 788   | 0.13       |                                             
 '--repeat                                      | 788   | 0.13       |                                             
     '--mobile_element                          | 788   | 0.13       |                                             
         '--Class_I                             | 788   | 0.13       |                                             
             '--LTR                             | 788   | 0.13       |                                             
                 '--Ty3_gypsy                   | 788   | 0.13       |                                             
                     '--chromovirus             | 788   | 0.13       |                                             
                         |--CRM                 | 64    | 0.01       | 64 (Ty3-GAG),                               
                         |--Tekay               | 721   | 0.12       | 2 (Ty3-CHD), 541 (Ty3-GAG), 178 (Ty3-PROT), 
                         '--Reina               | 3     | 0.00049    | 2 (Ty3-GAG), 1 (Ty3-PROT),                  "	NA	"62"
22	5920	"Tork"	"                                                | nhits | proportion |                                                                   features
-------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 2551  | 0.43       |                                                                           
 |--organelle                                   | 23    | 0.0039     |                                                                           
 |   '--mitochondria                            | 23    | 0.0039     |                                                                           
 '--repeat                                      | 2528  | 0.43       |                                                                           
     '--mobile_element                          | 2528  | 0.43       |                                                                           
         '--Class_I                             | 2528  | 0.43       |                                                                           
             '--LTR                             | 2528  | 0.43       |                                                                           
                 '--Ty1_copia                   | 2528  | 0.43       |                                                                           
                     |--Ale                     | 1     | 0.00017    | 1 (Ty1-RT),                                                               
                     |--Ikeros                  | 1     | 0.00017    | 1 (Ty1-RT),                                                               
                     |--Ivana                   | 2     | 0.00034    | 1 (Ty1-INT), 1 (Ty1-RH),                                                  
                     |--TAR                     | 1     | 0.00017    | 1 (Ty1-RT),                                                               
                     '--Tork                    | 2523  | 0.43       | 247 (Ty1-GAG), 653 (Ty1-INT), 260 (Ty1-PROT), 420 (Ty1-RH), 943 (Ty1-RT), "	NA	"205,86"
23	5897	"NA"	"                                                | nhits | proportion |                                features
--------------------------------------------------------------------------------------------------------------
All                                             | 93    | 0.016      |                                        
 '--repeat                                      | 93    | 0.016      |                                        
     '--mobile_element                          | 93    | 0.016      |                                        
         '--Class_I                             | 93    | 0.016      |                                        
             '--LTR                             | 93    | 0.016      |                                        
                 '--Ty3_gypsy                   | 93    | 0.016      |                                        
                     '--chromovirus             | 93    | 0.016      |                                        
                         |--CRM                 | 6     | 0.001      | 6 (Ty3-GAG),                           
                         |--Tekay               | 86    | 0.015      | 80 (Ty3-GAG), 5 (Ty3-INT), 1 (Ty3-RT), 
                         '--Reina               | 1     | 0.00017    | 1 (Ty3-GAG),                           "	NA	"64"
24	5868	"NA"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 1     | 0.00017    |             
 '--repeat                                      | 1     | 0.00017    |             
     '--mobile_element                          | 1     | 0.00017    |             
         '--Class_I                             | 1     | 0.00017    |             
             '--LTR                             | 1     | 0.00017    |             
                 '--Ty1_copia                   | 1     | 0.00017    |             
                     '--Ivana                   | 1     | 0.00017    | 1 (Ty1-RH), "	NA	"65"
25	5632	"Bianca"	"                                                | nhits | proportion |                                                                  features
------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 7540  | 1.3        |                                                                          
 '--repeat                                      | 7540  | 1.3        |                                                                          
     |--satellite                               | 5632  | 1          |                                                                          
     '--mobile_element                          | 1908  | 0.34       |                                                                          
         '--Class_I                             | 1908  | 0.34       |                                                                          
             '--LTR                             | 1908  | 0.34       |                                                                          
                 '--Ty1_copia                   | 1908  | 0.34       |                                                                          
                     |--Bianca                  | 1906  | 0.34       | 170 (Ty1-GAG), 367 (Ty1-INT), 94 (Ty1-PROT), 362 (Ty1-RH), 913 (Ty1-RT), 
                     |--Ivana                   | 1     | 0.00018    | 1 (Ty1-RH),                                                              
                     '--SIRE                    | 1     | 0.00018    | 1 (Ty1-RT),                                                              "	"69 - Putative satellites (low confidence)"	"69"
